DATE,CLOSE
20230503,2501.40
20230504,2500.94
20230508,2513.21
20230509,2510.06
20230510,2496.51
20230511,2491.00
20230512,2475.42
20230515,2479.35
20230516,2480.24
20230517,2494.66
20230518,2515.40
20230519,2537.79
20230522,2557.08
20230523,2567.55
20230524,2567.45
20230525,2554.69
20230526,2558.81
20230530,2585.52
20230531,2577.12
20230601,2569.17
20230602,2601.36
20230605,2615.41
20230607,2615.60
20230608,2610.85
20230609,2641.16
20230612,2629.35
20230613,2637.95
20230614,2619.08
20230615,2608.54
20230616,2625.79
20230619,2609.50
20230620,2604.91
20230621,2582.63
20230622,2593.70
20230623,2570.10
20230626,2582.20
20230627,2581.39
20230628,2564.19
20230629,2550.02
20230630,2564.28
20230703,2602.47
20230704,2593.31
20230705,2579.00
20230706,2556.29
20230707,2526.71
20230710,2520.70
20230711,2562.49
20230712,2574.72
20230713,2591.23
20230714,2628.30
20230717,2619.00
20230718,2607.62
20230719,2608.24
20230720,2600.23
20230721,2609.76
20230724,2628.53
20230725,2636.46
20230726,2592.36
20230727,2603.81
20230728,2608.32
20230731,2632.58
20230801,2667.07
20230802,2616.47
20230803,2605.39
20230804,2602.80
20230807,2580.71
20230808,2573.98
20230809,2605.12
20230810,2601.56
20230811,2591.26
20230814,2570.87
20230816,2525.64
20230817,2519.85
20230818,2504.50
20230821,2508.80
20230822,2515.74
20230823,2505.50
20230824,2537.68
20230825,2519.14
20230828,2543.41
20230829,2552.16
20230830,2561.22
20230831,2556.27
20230901,2563.71
20230904,2584.55
20230905,2582.18
20230906,2563.34
20230907,2548.26
20230908,2547.68
20230911,2556.88
20230912,2536.58
20230913,2534.70
20230914,2572.89
20230915,2601.28
20230918,2574.72
20230919,2559.21
20230920,2559.74
20230921,2514.97
20230922,2508.13
20230925,2495.76
20230926,2462.97
20230927,2465.07
20231004,2405.69
20231005,2403.60
20231006,2408.73
20231010,2402.58
20231011,2450.08
20231012,2479.82
20231013,2456.15
20231016,2436.24
20231017,2460.17
20231018,2462.60
20231019,2415.80
20231020,2375.00
20231023,2357.02
20231024,2383.51
20231025,2363.17
20231026,2299.08
20231027,2302.81
20231030,2310.55
20231031,2277.99
20231101,2301.56
20231102,2343.12
20231103,2368.34
20231106,2502.37
20231107,2443.96
20231108,2421.62
20231109,2427.08
20231110,2409.66
20231113,2403.76
20231114,2433.25
20231115,2486.67
20231116,2488.18
20231117,2469.85
20231120,2491.20
20231121,2510.42
20231122,2511.70
20231123,2514.96
20231124,2496.63
20231127,2495.66
20231128,2521.76
20231129,2519.81
20231130,2535.29
20231201,2505.01
20231204,2514.95
20231205,2494.28
20231206,2495.38
20231207,2492.07
20231208,2517.85
20231211,2525.36
20231212,2535.27
20231213,2510.66
20231214,2544.18
20231215,2563.56
20231218,2566.86
20231219,2568.55
20231220,2614.30
20231221,2600.02
20231222,2599.51
20231226,2602.59
20231227,2613.50
20231228,2655.28
20240102,2669.81
20240103,2607.31
20240104,2587.02
20240105,2578.08
20240108,2567.82
20240109,2561.24
20240110,2541.98
20240111,2540.27
20240112,2525.05
20240115,2525.99
20240116,2497.59
20240117,2435.90
20240118,2440.04
20240119,2472.74
20240122,2464.35
20240123,2478.61
20240124,2469.69
20240125,2470.34
20240126,2478.56
20240129,2500.65
20240130,2498.81
20240131,2497.09
20240201,2542.46
20240202,2615.31
20240205,2591.31
20240206,2576.20
20240207,2609.58
20240208,2620.32
20240213,2649.64
20240214,2620.42
20240215,2613.80
20240216,2648.76
20240219,2680.26
20240220,2657.79
20240221,2653.31
20240222,2664.27
20240223,2667.70
20240226,2647.08
20240227,2625.05
20240228,2652.29
20240229,2642.36
20240304,2674.27
20240305,2649.40
20240306,2641.49
20240307,2647.62
20240308,2680.35
20240311,2659.84
20240312,2681.81
20240313,2693.57
20240314,2718.76
20240315,2666.84
20240318,2685.84
20240319,2656.17
20240320,2690.14
20240321,2754.86
20240322,2748.56
20240325,2737.57
20240326,2757.09
20240327,2755.11
20240328,2745.82
20240329,2746.63
20240401,2747.86
20240402,2753.16
20240403,2706.97
20240404,2742.00
20240405,2714.21
20240408,2717.65
20240409,2705.16
20240411,2706.96
