,industry,corp_name,stock_code,공시날짜,시계열,ROE,영업이익률,순이익률,매출총이익률,부채비율,유동비율,고정비율,매출액_증감률,영업이익_증감률
2047,의약품,삼성바이오로직스,207940,20210311,2020-4분기,-5.239976689469816,-25.13667817098508,-20.688456189151598,35.72142378818317,39.69357090358747,297.1910789223164,101.61064456225346,324.20114938342647,417.8926215251028
2048,의약품,삼성바이오로직스,207940,20210517,2021-1분기,-1.3085272145085904,-28.48800643258933,-23.380459229975806,41.16151642848652,39.04087247256356,321.11783637166013,100.62727206396758,-77.60976321708822,-74.62460213875617
2049,의약품,삼성바이오로직스,207940,20210817,2021-2분기,-2.541753555196265,-40.459721032698226,-29.483966294888187,51.28820393873298,38.27606185278068,334.1793157303919,101.04098907557577,58.039778064931724,124.4539416160014
2050,의약품,삼성바이오로직스,207940,20211115,2021-3분기,-2.68213848101575,-37.141944343990794,-29.235489746701482,47.64306141329789,54.57498646453709,294.2337043517105,101.48523718608922,9.35794819040039,0.39038138642359943
2051,의약품,삼성바이오로직스,207940,20220321,2021-4분기,-7.885816753821803,-34.2669370731054,-25.101179201663253,46.32948769459379,59.684438300174314,254.96301781827702,103.12035423053034,247.88000878568909,220.9520282418718
2052,의약품,삼성바이오로직스,207940,20220516,2022-1분기,-3.400033782142204,-34.503348301597484,-28.73887159106911,44.9300220612395,85.06621068487509,152.239027962107,123.48876975156242,-67.39153449276472,-67.1665652352743
2053,의약품,삼성바이오로직스,207940,20220816,2022-2분기,-1.7929499002344373,-26.04651662590974,-23.339673299837433,44.24866791623876,84.66582074274636,182.96353758132238,109.8464836766558,27.404244832819625,-3.8227608450432826
2054,의약품,삼성바이오로직스,207940,20221114,2022-3분기,-1.5000580679627435,-37.19653487064181,-14.79472327187383,55.6874190330122,86.88314403177479,178.67607162235487,113.45539219102037,34.02059798318451,91.39226630047207
2055,의약품,삼성바이오로직스,207940,20230309,2022-4분기,-8.88261633685682,-32.77336487522074,-26.590344184186854,48.92713157631693,84.56347452882585,154.43257747145788,112.68778236223172,243.77537824684063,202.89584622822497
2056,의약품,삼성바이오로직스,207940,20230515,2023-1분기,-1.553239444644718,-26.596774685749637,-19.663014861524548,47.514155484227146,79.49785293450546,157.38360674304806,112.5031638946749,-75.97967547396128,-80.50663513709974
2057,의약품,삼성바이오로직스,207940,20230814,2023-2분기,-1.9856685948478252,-29.259222914273508,-21.34486281798923,49.313599288835526,68.63673367686891,145.42902576298943,112.55157866699889,20.1496139665595,32.17709213422202
2058,의약품,삼성바이오로직스,207940,20231114,2023-3분기,-2.517981315773485,-30.806599804636498,-23.24699942938383,48.53274272947958,66.43239800461343,132.10610498024408,109.58703208248043,19.370573260908476,25.68349780420536
2059,의약품,삼성바이오로직스,207940,20240307,2023-4분기,-8.724804155235395,-30.143534194592636,-23.21478161311539,48.794588844770324,63.22879124031458,132.80846396944582,107.05671843417774,257.3208120158225,249.63002031199477
2060,의약품,삼성바이오로직스,207940,20240516,2024-1분기,1.7917923717807835,23.37082045362619,18.941961320219704,44.37138756556902,65.06313560168628,120.57906880639162,109.09871930630757,-74.37055261882915,-119.87096832124129
2061,의약품,삼성바이오로직스,207940,20240814,2024-2분기,3.0788416293097605,37.558215921860146,27.486558907425014,56.861872244792124,58.233494379520344,134.63664577797167,105.64662141882013,22.177245187733053,96.34566807803017
2062,의약품,삼성바이오로직스,207940,20241114,2024-3분기,2.4969834301090494,28.521919331468816,22.27886915793375,45.835663982208445,51.312750790728415,134.93894089388735,105.90945569560498,2.60869565217392,-22.0783823654637
2063,의약품,셀트리온,68270,20200515,2020-1분기,-3.5043249917627124,-32.24942134441205,-28.240001931087015,49.71717621437212,37.255169521704836,273.09934010762083,71.43009288997314,0.0,0.0
2064,의약품,셀트리온,68270,20200814,2020-2분기,-4.3787632761115285,-42.407281733399564,-32.32470224977204,55.90031693170926,37.41288785832075,263.9736863434396,68.47756724141199,15.006691752917423,51.23127718498681
2065,의약품,셀트리온,68270,20201116,2020-3분기,-5.241317633030258,-44.69514606274749,-32.0388650274887,58.26783849729669,38.27068117454166,269.3070394079475,65.1551647041288,27.97861002474353,34.88303032302768
2066,의약품,셀트리온,68270,20210531,2021-1분기,-5.438609553117916,-45.44203217286074,-43.16025813567222,65.01425698460946,43.704604490329416,252.84270849042377,69.7324663721646,-16.7286536642789,-15.33713316535793
2067,의약품,셀트리온,68270,20210817,2021-2분기,-3.426097351967246,-37.80030525581966,-30.00169071887977,55.44029330498484,39.04896162838674,277.35104685807295,68.56003300783937,-5.514597270274346,-21.403667604114496
2068,의약품,셀트리온,68270,20211115,2021-3분기,-3.5621466275362277,-40.89590654359445,-35.02445399381979,61.81161570941522,40.41173202921085,254.0922860780612,67.01121406666547,-7.136223304591116,0.4687212793333728
2069,의약품,셀트리온,68270,20220512,2020-4분기,-15.337439242847722,-38.86048498745349,-28.429901791122266,55.57562516223934,46.46251874500376,238.1303405660645,73.04366345935033,361.1766349009994,338.2235096813539
2070,의약품,셀트리온,68270,20220512,2021-4분기,14.70924878467893,39.59285415358862,31.166509730069052,57.846306758736134,40.08893014712236,253.98767431101712,64.18302525448293,3.3789045600069123,-205.3271952762195
2071,의약품,셀트리온,68270,20220516,2022-1분기,3.1239628961607835,25.84117632101824,22.019876570565096,45.6763373641023,45.27699046637464,230.81933756339333,67.75985570729193,-71.19700774220547,-81.20107232938322
2072,의약품,셀트리온,68270,20220816,2022-2분기,4.557398079218611,33.38002838611832,30.873259001519965,50.365731311633276,40.8619246447446,252.14534535547705,66.82863044027401,8.257930468327167,39.84087826203078
2073,의약품,셀트리온,68270,20221114,2022-3분기,3.9358553135886445,33.10854241624938,25.846102376412748,46.46511894454624,39.18944098646395,263.20585624068207,65.06973222730372,8.316360939895917,7.435403860941769
2074,의약품,셀트리온,68270,20230320,2022-4분기,12.693977820410836,28.336536819660502,23.75539083262915,45.21512979592552,37.842169294838804,226.39595085387526,69.29624257170931,253.75450911270576,202.76710906105416
2075,의약품,셀트리온,68270,20230512,2023-1분기,3.906342024324804,30.529784257418452,27.970727821622454,44.20898849328273,43.1935887967542,201.4713562065904,71.06100832951603,-73.83660906229066,-71.81156307652373
2076,의약품,셀트리온,68270,20230814,2023-2분기,3.4345676314315767,34.9239853581639,28.793766150487233,52.706411337880596,43.14124540723642,201.619415375327,70.15989874293727,-12.314329511148593,0.306410502370702
2077,의약품,셀트리온,68270,20231114,2023-3분기,4.938293099407373,39.808446329868566,32.908022109440545,55.08752149363669,46.3173402082566,186.10199036337426,70.5360431245187,28.305386867387572,46.2501502781512
2078,의약품,셀트리온,68270,20240318,2023-4분기,3.1514265027035235,29.93346902955758,24.797811094315,48.33006345253465,16.301369863013697,202.76048539209418,87.05111586028099,223.7328422768678,143.4269081452309
2079,의약품,셀트리온,68270,20240516,2024-1분기,0.12210938173885946,2.0946754381394337,2.8179865556731527,41.61157697630872,18.494270242302015,184.2379366789317,87.52271030180448,-66.1381252785525,-97.63042375080776
2080,의약품,셀트리온,68270,20240814,2024-2분기,0.46164894113181787,8.286772866254125,8.96861578535818,42.0500468138569,18.43720393788359,181.7493415656375,87.53435056108368,18.692637520692546,369.56149392970474
2081,의약품,셀트리온,68270,20241114,2024-3분기,0.49376176967113494,23.54895439903031,9.535196922895503,52.54526137473028,19.233998579086737,177.2731621856142,87.68620128821641,0.8221862242652422,186.51166191296866
2082,의약품,유한양행,100,20200515,2020-1분기,6.653612112472963,0.3427270343084054,36.82280161901965,29.164827648463337,29.91573179524153,314.1341179773028,57.623302090843545,0.0,0.0
2083,의약품,유한양행,100,20200814,2020-2분기,1.909296991673068,8.581998316670116,8.25588537110757,36.95888670135696,32.64302174130849,288.14285528804334,58.526756392701685,32.62618266321071,3221.0034879765053
2084,의약품,유한양행,100,20201116,2020-3분기,1.551043681255081,4.74102090527624,6.7047973822440365,31.719345281732263,28.95779607087288,335.79359597040155,61.6966636337696,3.4164809403927077,-42.86881912617949
